bowler,phase,balls,runs,wickets,dots,boundaries,economy,strike_rate,dot_pct,boundary_pct
L Balaji,Middle,560,625,28,198,70,6.7,20.0,35.4,12.5
L Balaji,Powerplay,450,496,15,229,81,6.61,30.0,50.9,18.0
L Ngidi,Death,248,350,22,80,45,8.47,11.3,32.3,18.1
L Ngidi,Powerplay,246,316,13,117,51,7.71,18.9,47.6,20.7
LH Ferguson,Death,337,580,17,94,81,10.33,19.8,27.9,24.0
LH Ferguson,Middle,456,566,18,174,77,7.45,25.3,38.2,16.9
LH Ferguson,Powerplay,296,443,17,126,75,8.98,17.4,42.6,25.3
LR Shukla,Middle,210,266,6,76,33,7.6,35.0,36.2,15.7
LS Livingstone,Middle,270,417,11,62,52,9.27,24.5,23.0,19.3
M Ashwin,Middle,654,813,26,203,87,7.46,25.2,31.0,13.3
M Jansen,Middle,336,511,13,90,68,9.12,25.8,26.8,20.2
M Jansen,Powerplay,510,714,19,230,119,8.4,26.8,45.1,23.3
M Kartik,Middle,816,932,18,268,88,6.85,45.3,32.8,10.8
M Markande,Middle,654,952,33,184,118,8.73,19.8,28.1,18.0
M Morkel,Death,390,580,31,112,72,8.92,12.6,28.7,18.5
M Morkel,Middle,333,413,10,118,53,7.44,33.3,35.4,15.9
M Morkel,Powerplay,906,1002,36,478,164,6.64,25.2,52.8,18.1
M Muralitharan,Death,275,359,22,103,43,7.83,12.5,37.5,15.6
M Muralitharan,Middle,1105,1129,39,422,107,6.13,28.3,38.2,9.7
M Pathirana,Death,402,559,33,126,70,8.34,12.2,31.3,17.4
M Pathirana,Middle,300,352,14,110,41,7.04,21.4,36.7,13.7
M Prasidh Krishna,Death,560,941,42,184,142,10.08,13.3,32.9,25.4
M Prasidh Krishna,Middle,555,734,31,208,103,7.94,17.9,37.5,18.6
M Prasidh Krishna,Powerplay,618,802,17,295,133,7.79,36.4,47.7,21.5
M Theekshana,Middle,408,518,14,111,51,7.62,29.1,27.2,12.5
M Theekshana,Powerplay,312,436,10,101,61,8.38,31.2,32.4,19.6
MA Starc,Death,357,509,37,113,65,8.55,9.6,31.7,18.2
MA Starc,Powerplay,672,930,26,299,160,8.3,25.8,44.5,23.8
MC Henriques,Middle,649,835,28,191,96,7.72,23.2,29.4,14.8
MC Henriques,Powerplay,203,268,9,88,44,7.92,22.6,43.3,21.7
MG Johnson,Death,302,457,29,108,65,9.08,10.4,35.8,21.5
MG Johnson,Middle,312,393,7,122,54,7.56,44.6,39.1,17.3
MG Johnson,Powerplay,618,772,25,303,130,7.5,24.7,49.0,21.0
MJ McClenaghan,Death,368,529,32,109,65,8.62,11.5,29.6,17.7
MJ McClenaghan,Middle,252,353,8,92,52,8.4,31.5,36.5,20.6
MJ McClenaghan,Powerplay,654,812,31,306,129,7.45,21.1,46.8,19.7
MJ Santner,Middle,480,546,22,158,56,6.82,21.8,32.9,11.7
MM Ali,Middle,701,854,34,228,84,7.31,20.6,32.5,12.0
MM Patel,Death,305,511,23,86,74,10.05,13.3,28.2,24.3
MM Patel,Middle,396,395,22,156,42,5.98,18.0,39.4,10.6
MM Patel,Powerplay,654,741,29,348,121,6.8,22.6,53.2,18.5
